HSC-ID,AKR_ID,specz,clss,G,GCme,R,RCme,I,ICme,Z,ZCme,Ym,YCme,N2,N2me,N3,N3me,N4,N4me,S7m,S7me,S9m,S9me,S11m,S11me,L15m,L15me,L18m,L18me,L24m,L24me,Y,G-R,G-I,G-Z,G-Y,G-N2,G-N3,G-N4,R-I,R-Z,R-Y,R-N2,R-N3,R-N4,I-Z,I-Y,I-N2,I-N3,I-N4,Z-Y,Z-N2,Z-N3,Z-N4,Y-N2,Y-N3,Y-N4,N2-N3,N2-N4,N3-N4,fuzzy_dist,fuzzy_err
79670913196380026,134388,0.223,GAL,19.289,0.001,18.048,0.001,17.423,0.001,17.067,0.001,16.865,0.001,16.247,0.006999999999999999,16.712,0.008,17.045,0.009000000000000001,17.074,0.033,15.692,0.019,15.972999999999999,0.021,15.935,0.032,15.968,0.027000000000000003,16.044,0.08,0,1.2410000000000032,1.8660000000000032,2.2220000000000013,2.424000000000003,3.0420000000000016,2.5770000000000017,2.244,0.625,0.9809999999999979,1.1829999999999998,1.8009999999999984,1.3359999999999983,1.0029999999999966,0.3559999999999981,0.5579999999999998,1.1759999999999984,0.7109999999999985,0.37799999999999656,0.20200000000000173,0.8200000000000003,0.3550000000000004,0.021999999999998462,0.6179999999999986,0.1529999999999987,-0.18000000000000327,-0.4649999999999999,-0.7980000000000018,-0.333000000000002,0.9134932821564712,0.9475587712918848
79675994142690458,44317,0.165,GAL,19.945,0.001,19.342,0.001,19.038,0.001,18.797,0.002,18.829,0.004,19.003,0.039,19.137,0.039,19.366,0.045,18.791,0.126,17.759,0.068,18.177,0.077,,,17.188,0.08800000000000001,,,0,0.6030000000000015,0.907,1.1479999999999997,1.1159999999999997,0.9420000000000002,0.8079999999999998,0.5790000000000006,0.3039999999999985,0.5449999999999982,0.5129999999999981,0.33899999999999864,0.2049999999999983,-0.02400000000000091,0.2409999999999997,0.20899999999999969,0.03500000000000013,-0.0990000000000002,-0.3279999999999994,-0.03200000000000003,-0.20599999999999952,-0.33999999999999986,-0.5689999999999991,-0.1739999999999995,-0.30799999999999983,-0.5369999999999989,-0.13400000000000034,-0.3629999999999996,-0.2289999999999992,0.7980717832056589,0.7613019934665101
79666502264966784,38937,0.17300000000000001,GAL,21.326,0.001,20.643,0.001,20.243,0.001,20.024,0.002,19.885,0.003,19.384,0.047,19.77,0.065,20.135,0.061,,,18.057000000000002,0.079,18.3,0.086,,,,,,,0,0.6829999999999998,1.0830000000000022,1.3019999999999996,1.4409999999999992,1.942,1.556000000000001,1.190999999999999,0.4000000000000021,0.6189999999999998,0.7579999999999991,1.2590000000000003,0.8730000000000011,0.5079999999999991,0.21899999999999764,0.35799999999999704,0.8589999999999982,0.472999999999999,0.107999999999997,0.13899999999999935,0.6400000000000006,0.2540000000000013,-0.11100000000000064,0.5010000000000012,0.11500000000000199,-0.25,-0.3859999999999992,-0.7510000000000012,-0.365000000000002,0.8743779032784074,0.6726944001321086
80093379064529991,132772,0.083,GAL,22.338,0.001,21.645,0.002,20.845,0.002,20.5,0.002,20.391,0.003,18.816,0.033,18.352999999999998,0.021,18.362000000000002,0.021,17.813,0.051,16.897000000000002,0.044000000000000004,17.24,0.054000000000000006,17.243,0.08800000000000001,17.114,0.066,16.461,0.10400000000000001,0,0.6930000000000014,1.493000000000002,1.838000000000001,1.9470000000000027,3.5220000000000016,3.985000000000003,3.975999999999999,0.8000000000000007,1.1449999999999996,1.2540000000000011,2.8290000000000006,3.2920000000000016,3.2829999999999977,0.3449999999999989,0.4540000000000006,2.029,2.492000000000001,2.482999999999997,0.10900000000000176,1.6840000000000008,2.147000000000002,2.137999999999998,1.5749999999999993,2.0380000000000003,2.0289999999999964,0.463000000000001,0.4539999999999971,-0.009000000000003894,0.5948493049424626,0.846292950338283
80093658237403836,132292,0.166,GAL,18.17,0.001,17.205,0.001,16.817,0.001,16.503,0.001,16.346,0.001,16.331,0.008,16.839000000000002,0.009000000000000001,17.033,0.009000000000000001,15.905,0.015,14.442,0.008,14.809000000000001,0.009000000000000001,15.31,0.018000000000000002,15.167,0.015,15.14,0.034,0,0.9650000000000034,1.3530000000000015,1.6670000000000016,1.8240000000000016,1.8390000000000024,1.3309999999999995,1.1370000000000005,0.3879999999999981,0.7019999999999982,0.8589999999999982,0.8739999999999988,0.3659999999999961,0.17199999999999704,0.3140000000000001,0.4710000000000001,0.4860000000000007,-0.02200000000000201,-0.21600000000000108,0.15700000000000006,0.1720000000000006,-0.3360000000000021,-0.5300000000000011,0.015000000000000568,-0.4930000000000021,-0.6870000000000012,-0.5080000000000027,-0.7020000000000017,-0.19399999999999906,0.8177348967422329,0.9439421348292562
79671325513233232,39702,0.293,AGN1,20.46,0.001,19.237000000000002,0.001,18.727,0.001,18.428,0.001,18.25,0.001,18.08,0.022000000000000002,18.435,0.023,18.701,0.027000000000000003,18.441,0.1,17.883,0.073,17.843,0.098,,,,,,,1,1.222999999999999,1.7330000000000003,2.032,2.210000000000001,2.3800000000000026,2.025000000000002,1.7590000000000003,0.5100000000000016,0.809000000000001,0.9870000000000021,1.1570000000000036,0.8020000000000032,0.5360000000000014,0.2989999999999995,0.4770000000000003,0.6470000000000021,0.2920000000000016,0.0259999999999998,0.17800000000000082,0.3480000000000025,-0.006999999999997897,-0.2729999999999997,0.1700000000000017,-0.18499999999999872,-0.4510000000000005,-0.3550000000000004,-0.6210000000000022,-0.2660000000000018,0.5747911687906978,0.8418891202897512
79670904606445846,33475,0.41100000000000003,GAL,22.322,0.002,21.272,0.001,20.843000000000004,0.002,20.494,0.003,20.397000000000002,0.006,19.507,0.069,19.956,0.07,20.035,0.07200000000000001,,,18.230999999999998,0.11900000000000001,18.475,0.13699999999999998,,,,,,,0,1.0500000000000007,1.4789999999999957,1.828,1.9249999999999967,2.8149999999999977,2.366,2.286999999999999,0.4289999999999949,0.7779999999999987,0.8749999999999964,1.7649999999999968,1.315999999999999,1.2369999999999983,0.3490000000000037,0.4460000000000015,1.336000000000002,0.887000000000004,0.8080000000000034,0.09699999999999777,0.9869999999999984,0.5380000000000003,0.4589999999999996,0.8900000000000006,0.4410000000000025,0.3620000000000019,-0.4489999999999981,-0.5279999999999987,-0.07900000000000063,0.9440732126127398,0.5931283979542785
79666510854916057,119033,1.0,GAL,23.103,0.003,22.318,0.005,21.804000000000002,0.005,21.3,0.006999999999999999,20.997,0.009000000000000001,19.570999999999998,0.076,19.56,0.057999999999999996,19.893,0.064,,,,,,,17.881,0.11199999999999999,,,,,0,0.7850000000000001,1.2989999999999997,1.8030000000000008,2.1060000000000016,3.532000000000004,3.543000000000003,3.2100000000000013,0.5139999999999993,1.0180000000000011,1.3210000000000015,2.7470000000000034,2.7580000000000027,2.4250000000000007,0.5040000000000013,0.8070000000000022,2.233000000000004,2.244000000000004,1.9110000000000007,0.3030000000000008,1.7290000000000028,1.740000000000002,1.4069999999999998,1.4260000000000022,1.4370000000000012,1.1039999999999992,0.010999999999999231,-0.32200000000000273,-0.333000000000002,0.7665023841712182,0.5895117614916501
79666489380079427,36477,1.383,AGN1,21.199,0.001,20.884,0.001,20.736,0.002,20.714000000000002,0.004,20.656,0.004,19.153,0.043,18.961,0.033,18.807000000000002,0.027999999999999997,18.171,0.073,17.305,0.063,17.896,0.086,17.212,0.08900000000000001,17.186,0.071,,,1,0.3150000000000013,0.463000000000001,0.4849999999999994,0.5430000000000028,2.046000000000004,2.238000000000003,2.3919999999999995,0.1479999999999997,0.16999999999999815,0.2280000000000016,1.7310000000000016,1.9230000000000016,2.0769999999999977,0.021999999999998462,0.08000000000000185,1.5830000000000022,1.7750000000000021,1.9289999999999985,0.058000000000003375,1.5610000000000035,1.7530000000000037,1.907,1.5030000000000001,1.6950000000000005,1.8489999999999969,0.19200000000000012,0.3459999999999965,0.15399999999999636,0.8615027964516175,0.7618069864105341
79671042045407806,134144,0.247,GAL,20.117,0.001,19.366,0.001,18.817999999999998,0.001,18.42,0.001,18.419,0.002,17.984,0.02,18.38,0.023,18.680999999999997,0.027999999999999997,18.156,0.07400000000000001,16.484,0.035,16.744,0.038,17.08,0.057999999999999996,16.866,0.061,16.762999999999998,0.11800000000000001,0,0.7510000000000012,1.299000000000003,1.6969999999999992,1.6980000000000004,2.132999999999999,1.737000000000002,1.4360000000000035,0.5480000000000018,0.945999999999998,0.9469999999999992,1.381999999999998,0.9860000000000008,0.6850000000000023,0.3979999999999961,0.39899999999999736,0.8339999999999961,0.4379999999999988,0.13700000000000045,0.0010000000000012221,0.436,0.0400000000000027,-0.2609999999999957,0.4349999999999987,0.03900000000000148,-0.2619999999999969,-0.3959999999999973,-0.6969999999999956,-0.3009999999999984,0.8810485366390847,0.8607594961887975
