HSC-ID,AKR_ID,specz,clss,Y,sum_y,y_pred,S11-L18,Z-N4,S9-L18,S9-L15,Ym-N4,I-N4,S11-L15,R-L18,I-L18,R-N4,fuzzy_dist,fuzzy_err
7.96665194448317e+16,132354,0.08900000000000001,GAL,0,,,0.17499999999999716,-0.6099999999999994,-0.3780000000000001,-0.27399999999999736,-0.7479999999999976,-0.5350000000000037,0.2789999999999999,1.66,1.3309999999999924,-0.205999999999996,0.8160740815782122,0.7311669168217589
7.967160039114909e+16,45880,0.303,GAL,0,,,-0.22500000000000145,0.6230000000000011,-0.5719999999999992,-0.5019999999999989,0.4749999999999978,1.056000000000001,-0.15500000000000114,3.3380000000000014,2.809000000000001,1.5850000000000009,0.9065957381541296,0.5878877461168723
7.96662273870656e+16,47329,0.35700000000000004,GAL,0,,,0.2579999999999991,0.8049999999999997,0.8550000000000004,0.8140000000000001,0.4660000000000011,1.333000000000002,0.21699999999999875,3.655000000000001,2.748000000000001,2.240000000000002,0.8159464049025269,0.1580502340022124
7.967077146245835e+16,134670,0.691,GAL,0,,,0.820999999999998,0.9220000000000006,1.251999999999999,0.8840000000000003,0.6150000000000021,1.2310000000000016,0.4529999999999994,4.100999999999999,3.0509999999999984,2.2810000000000024,0.7674820460954297,0.4254062123278256
7.967103345547925e+16,41687,1.199,GAL,0,,,1.0060000000000002,1.7959999999999994,0.7989999999999995,0.4409999999999954,1.6799999999999995,1.9330000000000036,0.6479999999999961,4.532999999999999,4.199000000000002,2.2669999999999995,0.6830161588582555,0.05317578946564572
7.967159180120646e+16,133169,0.335,GAL,0,,,0.43200000000000216,0.16400000000000148,0.3260000000000005,0.2390000000000008,-0.09499999999999886,0.4980000000000011,0.3450000000000024,2.9090000000000025,2.269000000000002,1.1380000000000017,0.9189715211025306,0.6838995615376727
8.009324162555995e+16,133007,0.526,GAL,0,,,0.3879999999999981,4.975000000000005,0.07099999999999795,0.2629999999999981,4.605000000000004,5.920000000000004,0.5799999999999983,9.369999999999996,7.636000000000003,7.654,7.26979920706583e-10,0.6233382625799371
7.967160468612483e+16,46633,0.303,GAL,0,,,0.21099999999999847,-0.397000000000002,-0.33500000000000085,-0.3130000000000024,-0.620000000000001,-0.04100000000000037,0.232999999999997,2.2620000000000005,1.6920000000000002,0.5289999999999999,0.8919774298832158,0.5524372296538076
8.009791025502667e+16,134631,0.518,GAL,0,,,-0.05600000000000094,0.2319999999999993,0.1460000000000008,0.6750000000000007,-0.06400000000000361,0.4049999999999976,0.472999999999999,3.2130000000000014,2.802,0.815999999999999,0.8899638447687902,0.6322008916957033
7.9666373415964e+16,36191,0.46,GAL,0,,,-0.6550000000000011,0.8949999999999996,-0.6140000000000008,-1.025000000000002,0.5500000000000007,1.3629999999999995,-1.0660000000000025,3.4860000000000007,2.637999999999998,2.211000000000002,0.8337160769560671,0.44608568026461337
7.967171635526514e+16,46077,0.473,GAL,0,,,-0.2699999999999996,0.6140000000000008,-0.254999999999999,-0.3049999999999997,0.2910000000000004,1.0740000000000016,-0.3200000000000003,3.164000000000001,2.589000000000002,1.649000000000001,0.9199004119964498,0.5332348665696476
8.009296674765675e+16,133598,0.087,GAL,0,,,0.09799999999999898,-1.046000000000003,-0.4690000000000012,-0.6630000000000003,-1.1830000000000034,-0.9299999999999996,-0.09600000000000007,1.1179999999999986,0.8010000000000019,-0.6130000000000031,0.7364662272254432,0.6735598275692788
8.009311277656598e+16,133343,0.17600000000000002,GAL,0,,,-0.2809999999999988,-0.19299999999999784,-0.6109999999999989,-0.8830000000000009,-0.4540000000000006,0.09799999999999898,-0.5530000000000008,1.9699999999999989,1.4239999999999997,0.6439999999999984,0.8793479683070693,0.7178729731481097
7.967078005240091e+16,45303,0.29600000000000004,GAL,0,,,0.9990000000000024,0.9379999999999988,0.3019999999999996,-0.2660000000000018,0.8520000000000003,1.304000000000002,0.43100000000000094,4.805000000000007,4.304000000000002,1.8050000000000068,0.7410221543862922,0.5228951326012536
7.967105063533576e+16,134066,0.196,GAL,0,,,0.29800000000000004,0.3570000000000029,0.02800000000000047,-0.11400000000000075,0.16600000000000034,0.7050000000000018,0.1559999999999988,2.825000000000001,2.2780000000000005,1.2520000000000024,0.9526902568893256,0.79468242548475
7.966638200588974e+16,47730,0.394,GAL,0,,,-0.03900000000000148,0.125,-0.3110000000000035,-0.5770000000000017,-0.005000000000002558,0.4759999999999991,-0.3049999999999997,2.8349999999999973,2.318999999999999,0.9919999999999972,0.9661223258887875,0.44313147055935787
7.967173783011504e+16,132906,0.241,GAL,0,,,0.29900000000000304,0.3049999999999997,-0.03599999999999781,0.004000000000001336,0.08200000000000074,0.7010000000000005,0.3390000000000022,3.1460000000000043,2.543000000000003,1.304000000000002,0.9335447974620932,0.7592319090216852
7.967159609618582e+16,133046,0.118,GAL,0,,,-0.14000000000000054,-0.4750000000000014,-0.6400000000000006,-0.7050000000000018,-0.6679999999999993,-0.2409999999999997,-0.20500000000000185,1.5269999999999977,1.09,0.19599999999999795,0.830072562925092,0.6883308760955558
,132829,,,1,0.0,0.0,0.9500000000000012,0.9740000000000038,0.7949999999999999,0.4429999999999996,0.5330000000000013,1.2430000000000019,0.5980000000000008,4.9689999999999985,4.0550000000000015,2.157,0.6708426821402443,1.0
7.966624886190157e+16,47449,0.359,GAL,0,,,-0.4019999999999975,0.20899999999999966,-0.904,-0.5429999999999993,-0.004999999999999004,0.593,-0.04099999999999682,2.8500000000000014,2.157,1.2860000000000014,0.9474882392605892,0.3604135988122069
7.96710506353358e+16,43372,0.383,GAL,0,,,-0.08899999999999864,0.6030000000000015,-0.00700000000000145,0.3859999999999992,0.5509999999999984,1.125,0.30400000000000205,3.737000000000002,3.119,1.743000000000002,0.8599766873739862,0.3589364939595792
7.966635623609693e+16,132620,0.149,GAL,0,,,0.9659999999999976,-0.18299999999999986,0.4689999999999976,0.1999999999999993,-0.3939999999999984,0.0799999999999983,0.6969999999999992,2.7659999999999982,2.275999999999996,0.5700000000000003,0.8643385335521133,0.7149187634428543
7.966638200588227e+16,46891,0.405,GAL,0,,,-0.6490000000000009,0.6090000000000018,-0.6749999999999972,-0.2259999999999991,0.3329999999999984,1.105999999999998,-0.20000000000000284,3.0730000000000004,2.408999999999999,1.7699999999999996,0.90866772160696,0.3988183249805271
