,mean_test_score,std_test_score,rank_test_score
0,0.6537958928148347,0.07064596384391199,730
1,0.6749676663221915,0.06681319188748927,276
2,0.6785158328714265,0.06517929489424278,183
3,0.6878258314132876,0.06333560603351751,19
4,0.6431283193982399,0.06811070716305308,944
5,0.6852265023822699,0.06323991550044487,55
6,0.6557977416200212,0.06914509519830478,681
7,0.6480488199704756,0.06866863207246054,846
8,0.6604927702980204,0.06644533016410077,566
9,0.655128176555927,0.06953347016636274,698
10,0.6857229422159414,0.06227973338895191,50
11,0.6437827411659285,0.06975109968574218,936
12,0.6864551346485289,0.06314924789196547,35
13,0.6589316602490476,0.06646879519388237,608
14,0.6373422108631981,0.0714646358969671,997
15,0.6677411870905471,0.06226455967052965,402
16,0.6473672249529939,0.07029625665018759,866
17,0.651189200988164,0.0703388611438717,786
18,0.6900983685005379,0.06446928278206952,10
19,0.6778863473953581,0.06703822196515244,204
20,0.6808021208613863,0.06627778475819879,137
21,0.6811118464850537,0.06469483404085175,128
22,0.6589172129050993,0.06528223212470538,609
23,0.6744682777797187,0.058031524401330345,288
24,0.6398840384803856,0.07212287577594728,984
25,0.6601269807451309,0.06777559480558042,577
26,0.6477363196915875,0.0666541351354795,857
27,0.6598936784530065,0.06795346467715356,583
28,0.6798677166900609,0.06202311488482243,157
29,0.6712451190946608,0.06476359347342044,354
30,0.6696781813823159,0.06523617114830207,376
31,0.6726222640331285,0.0659560692708081,332
32,0.6907796192190522,0.06433613712924724,9
33,0.6820007215552927,0.05877644820902366,109
34,0.6528363003132678,0.06729287580758762,753
35,0.6648083580520344,0.06770023488061773,460
36,0.6808420464815325,0.06500877022521248,136
37,0.6830792352374724,0.06351621961706308,88
38,0.6503414396882282,0.06912252260025144,798
39,0.6747173574778614,0.06569698535962892,283
40,0.6447398261281456,0.06846596318868482,919
41,0.6500863848745392,0.06912633253150706,807
42,0.6518826009076872,0.06922195172794851,767
43,0.684235217101092,0.06273721077121736,66
44,0.6471253789326691,0.06991140221256188,873
45,0.6786322880972091,0.06307767314125338,182
46,0.660158213480804,0.06727017987373986,576
47,0.6592388063841453,0.06710652034749084,601
48,0.6382580386923915,0.06944370187512294,994
49,0.6838125983344255,0.05951618657501728,74
50,0.6569596489184072,0.0726512393919012,658
51,0.658255909579296,0.06932918422522572,628
52,0.6781799995075046,0.06507737509551796,194
53,0.6568659237372669,0.06655593416535997,661
54,0.6770233327215475,0.06821873668843907,226
55,0.6447273233260767,0.07232274167050515,921
56,0.6450194468581273,0.07101914409392518,915
57,0.6804781155659816,0.06441402944842517,144
58,0.6391940805031885,0.06890991173673151,991
59,0.6523802055935419,0.06921035161884125,760
60,0.6510693260191814,0.06611703381518096,787
61,0.6770505740714726,0.06184588619178575,225
62,0.6658706345103191,0.06930518433997335,436
63,0.6470813934568231,0.06988881120511677,874
64,0.6570344571747013,0.06814168643781943,654
65,0.6724550143772733,0.06622945142617097,334
66,0.639955219759642,0.0692512271443635,982
67,0.6656597740463976,0.06649352915086286,439
68,0.6738069135496428,0.06509132608709173,309
69,0.6626572918084144,0.0683160139040341,516
70,0.6797871977589159,0.06003149982664007,158
71,0.6608075187416904,0.06904356511882885,562
72,0.6375189356960821,0.0686083622210979,996
73,0.6493488437751067,0.072899647331326,815
74,0.6611767799312525,0.06417042137755975,552
75,0.6579119426845669,0.07058460223287658,636
76,0.6860660188238955,0.06693103571433262,45
77,0.670258964812402,0.06468758895528494,368
78,0.6748150361523136,0.05933700472775698,279
79,0.683192870678736,0.05889605561468798,85
80,0.6748123756250041,0.0628544996558591,280
81,0.6526119648927501,0.07016500487195552,758
82,0.6638502489039766,0.06139180094764585,488
83,0.6752687078583841,0.0675081034918846,264
84,0.6620834590186194,0.06682429963993733,532
85,0.6417324244574043,0.06725872508863566,958
86,0.6488935163058251,0.06748824449975317,827
87,0.6599069286646164,0.06748423877821995,582
88,0.6689493119222469,0.06806861834998876,386
89,0.6646352535301122,0.06402351976889611,465
90,0.6717603744069324,0.06666819329374314,345
91,0.6578994957625425,0.0662928391384769,637
92,0.6823660786653708,0.06612692517264653,101
93,0.6693951540129558,0.06413653801025573,383
94,0.6908065694111659,0.06579180243188494,8
95,0.6742905985548469,0.06398643587762536,292
96,0.65297197109246,0.06851806175699209,749
97,0.6393584012645528,0.06802436219535508,988
98,0.6645482933574546,0.07068813706941597,466
99,0.6504107410792028,0.06831624636424331,797
100,0.6475416542524813,0.07235052316796955,862
101,0.6741429430383709,0.05896476730879455,300
102,0.6468098300164895,0.06676868812441931,882
103,0.6586975351274305,0.06917136676162415,614
104,0.6842197553147028,0.06341645919258958,67
105,0.6521978931503277,0.0692944884232819,762
106,0.6484601204361408,0.06952009353964936,836
107,0.6883462734482373,0.06295146210553107,15
108,0.6429008836794803,0.07011075267204224,947
109,0.6769674545624795,0.06596503934415299,228
110,0.662722499202971,0.06436723642989468,512
111,0.6647013382438096,0.06258886523291507,464
112,0.6544115687147805,0.0674279420325836,714
113,0.6513463307098329,0.07027733157594511,784
114,0.6573369469940933,0.06748506615384131,649
115,0.6726892931036171,0.06672871191839971,329
116,0.6627176202118947,0.06903293088182855,514
117,0.6782758194077254,0.06460840199844077,192
118,0.6868292723380818,0.06364090015395424,27
119,0.6539503720119236,0.0686402284367288,727
120,0.6556176080361644,0.06992429670354179,686
121,0.6643749606177833,0.06885644803135371,474
122,0.640834382975478,0.06904937172883908,971
123,0.6413521970256358,0.06826491797308255,961
124,0.6404084412099346,0.06795875439300031,979
125,0.6826954802207671,0.06784975676157455,96
126,0.6570196090292834,0.06953305826355374,655
127,0.6479636035272742,0.06713778698384687,851
128,0.6408079578044394,0.06932918623050657,972
129,0.6562627797333787,0.06967946292705196,672
130,0.6548310153949032,0.06912872825512587,704
131,0.6406743464999093,0.06581981915962698,976
132,0.6747634802251141,0.06320760034580102,282
133,0.6681026062573744,0.06894213669989183,394
134,0.6863064018790704,0.06562188884965345,41
135,0.6413882722455426,0.0702560563121055,960
136,0.6443739241775168,0.06740861300183934,927
137,0.6735912041046613,0.06435403293319833,314
138,0.6722098314554006,0.06544255370732273,337
139,0.6491295330769834,0.06781564658244305,820
140,0.6451495489442294,0.06603377340413387,913
141,0.684293176547868,0.06291345093287809,65
142,0.6514586797116586,0.0681114241239559,781
143,0.6767984494421876,0.06759300895954011,235
144,0.6664289208810456,0.06636709995185328,426
145,0.6849774513217927,0.06318626711047719,57
146,0.6576834848322072,0.06929158366601593,641
147,0.6626102675981103,0.0705794777257085,518
148,0.6636207797084945,0.06777995398461645,495
149,0.67968694999257,0.06335750351944935,160
150,0.6596026263946756,0.06746125218103373,590
151,0.6662405350841477,0.06657197342635718,429
152,0.6494773900240723,0.06959250452020885,813
153,0.6469362373017793,0.07086197624284679,878
154,0.6811141369463045,0.0674537139067352,127
155,0.6468523859728184,0.06917615068703019,880
156,0.6750054935696422,0.06458874103001762,272
157,0.6473008739471017,0.06992964668768469,869
158,0.6735799853660711,0.063683319217345,315
159,0.6481343633665783,0.06926966550938657,843
160,0.6492268645280009,0.0662067425476396,817
161,0.6836789136721454,0.0596260779672908,78
162,0.6538363826337631,0.06478263644914385,729
163,0.6751964812295338,0.06660898650079305,267
164,0.6520363460922549,0.06954881867026731,764
165,0.6753958304449766,0.06473062545310805,260
166,0.6818701966413481,0.06677232029001681,112
167,0.6570501220207704,0.06777088059611741,653
168,0.6540377678299721,0.06892776128807077,725
169,0.6633533765527604,0.07099345707187255,502
170,0.6445180118421822,0.06925550680628781,925
171,0.6611968864943042,0.06450840809286838,551
172,0.6831229870977904,0.065673226319079,87
173,0.6721812290693316,0.06494673993387688,339
174,0.641139204420349,0.07079372051029822,966
175,0.6432743387064349,0.06784870405829076,942
176,0.6635876692726076,0.0639820286106214,496
177,0.6477747660679611,0.0672672069488282,854
178,0.6649609361892819,0.06794175764349748,456
179,0.6767494137591634,0.06517861839627213,236
180,0.6516472444414633,0.06568792135855546,776
181,0.6726714635906579,0.07057889007130691,330
182,0.6724028993271951,0.0633382566676485,335
183,0.6439596382422978,0.07005632042138166,934
184,0.68313118242517,0.06516392798008348,86
185,0.6663899835181175,0.06315583375666697,427
186,0.6707759509726319,0.06664766572575845,361
187,0.6874126411011869,0.06430628632537488,23
188,0.659561136306356,0.0716103528099609,593
189,0.6661284867696554,0.06404974746839234,432
190,0.6605219676751537,0.0695590836358141,565
191,0.6720915015056419,0.06745332020475454,341
192,0.6377414304402181,0.06752217902046002,995
193,0.6703775124478827,0.06696040675313507,365
194,0.6676900918454498,0.06616671852201729,404
195,0.6463750682967309,0.07021602362876171,890
196,0.6779023000241127,0.06602469287471628,203
197,0.6440378779849987,0.07101419111921145,932
198,0.6680070171397641,0.06669675691854735,397
199,0.6467478480993313,0.06743386905365037,883
200,0.6756748829583398,0.06562747945172642,254
201,0.6665528028387504,0.06724346393695518,424
202,0.6585765864532597,0.06794134190893691,617
203,0.6524366611272261,0.06646217144968365,759
204,0.678828549465036,0.06000017251242972,177
205,0.6585317116222014,0.06595580440253754,619
206,0.6429065810837487,0.069830917661128,946
207,0.6651604515612047,0.06777229293031738,451
208,0.6689988833589279,0.06789586306625948,385
209,0.6648230979761969,0.06965817412500827,458
210,0.6679176571195323,0.06676204935780757,398
211,0.6640227681577813,0.06882969448762172,486
212,0.646085964140481,0.07112222411094377,900
213,0.6407388328956553,0.0707294483223701,974
214,0.679990726847049,0.06570542762877507,149
215,0.6677590778433418,0.06752318745064748,401
216,0.6624623547777299,0.06369427285460573,521
217,0.654317338366251,0.06880426788962302,719
218,0.6833221625998277,0.06488580906588819,83
219,0.6880105623785937,0.061522427521475305,16
220,0.66100910052983,0.0685927261290215,557
221,0.6733295765728192,0.06736495409707648,321
222,0.6533832995651584,0.06329217721430629,738
223,0.6618848592595308,0.07053072968906964,536
224,0.6554774940604071,0.0708710347323457,690
225,0.6621022034908411,0.06963831283828836,531
226,0.650079433910133,0.0670614900745684,808
227,0.6629067906979483,0.0642220067813107,508
228,0.6464971880506346,0.07097616974727894,888
229,0.6503309621949234,0.06929449850314384,799
230,0.681613260665509,0.06349750005447487,114
231,0.6615855818930069,0.06908092327589392,543
232,0.6767986517405881,0.0635113908562533,234
233,0.686296157510935,0.06253520847442404,42
234,0.662254972024948,0.06331291227094506,524
235,0.6644081031063999,0.0671463916484932,471
236,0.6647848593456316,0.06189818749328816,462
237,0.6786730406651026,0.061687064478144496,180
238,0.654470353041302,0.0708134236688537,712
239,0.6863313854574302,0.06136243257228036,40
240,0.6526449940256782,0.07056011306122822,755
241,0.6621750799135897,0.06561417258838534,528
242,0.6776825570088946,0.06610711465692935,207
243,0.6673299270267914,0.06481732935702983,409
244,0.6839149298705697,0.06602949261833724,70
245,0.6547129344657194,0.06952373213115107,708
246,0.6532394110981482,0.06675242440447311,742
247,0.6504956099170894,0.06825816626946572,795
248,0.6865776374913197,0.064960703779343,30
249,0.6533067705664619,0.06842170423108952,740
250,0.6569702220338195,0.06811670141491065,657
251,0.6409362133286558,0.07027163533565692,969
252,0.6426479724958888,0.07239570400407001,948
253,0.6507413011098633,0.06634692015686776,793
254,0.6674651291861852,0.06839196565112118,406
255,0.6825450438488597,0.06299728734130298,100
256,0.6741767152922599,0.061086326381567385,298
257,0.6828436570657312,0.06460244350349349,93
258,0.6552243480512849,0.06650118590291991,695
259,0.6482764145239589,0.06978493106014162,838
260,0.6550840347887606,0.06831622837962206,699
261,0.675099330011343,0.06254208413436635,269
262,0.6445076638491817,0.07011583539040758,926
263,0.6747987370279854,0.06796522521823886,281
264,0.6476035175169436,0.06876104363203245,859
265,0.6723918477737363,0.06396827944496238,336
266,0.6774042531762818,0.06630355786114918,213
267,0.666453609753769,0.06829432901583748,425
268,0.6838139774983567,0.06483976874707695,73
269,0.6516405152679411,0.07114981632731066,777
270,0.6593010857669747,0.0655328921218291,600
271,0.6688877017089063,0.06577775571053004,388
272,0.685560805842563,0.06724104990669348,53
273,0.6721958759597527,0.06471980891876304,338
274,0.6625749827548404,0.06497582443828365,519
275,0.6547946186937186,0.07186145996944188,706
276,0.639286473242109,0.07208078660449106,990
277,0.6595450723520134,0.07027844164917277,594
278,0.648086999677701,0.06924691001792353,845
279,0.6537929613932768,0.06631156036675108,732
