,mean_test_score,std_test_score,rank_test_score
0,0.6380382391666238,0.07271057789292677,944
1,0.6468698338625617,0.07145455983840246,620
2,0.6676259815776823,0.07298565090373577,209
3,0.6660540452645862,0.0747818796239115,246
4,0.6437329098302988,0.07881147229199882,738
5,0.6449111421034521,0.0755336295219513,686
6,0.6665862846489121,0.07221622297653824,234
7,0.6396894472402657,0.07519913360508461,913
8,0.638015277515863,0.07297883599664826,945
9,0.6790224923624996,0.07328240372160104,19
10,0.6789262824600811,0.07397088943836705,20
11,0.6567568716265885,0.06286705959250068,401
12,0.6398447466227486,0.07253473401400337,906
13,0.6524416504281606,0.06941013356289373,487
14,0.6466245562008892,0.07542932275895266,628
15,0.6505629680502978,0.07775882979474305,523
16,0.6387729219639459,0.07377607093821718,930
17,0.646997764031463,0.07244672112320773,614
18,0.6804379861011207,0.07215244328182478,7
19,0.6374959883981145,0.07502908838216826,950
20,0.6668353089341086,0.06643557472400871,225
21,0.6542417973854023,0.0766376457294297,451
22,0.6550037520992267,0.07904484894983654,435
23,0.6369302489862282,0.07464647766181894,960
24,0.6780295671697618,0.07318899276816573,33
25,0.6780473625935882,0.07358127717873494,32
26,0.671477402618284,0.07638337550242508,141
27,0.6594027631982421,0.07695659889063297,356
28,0.6781469931129785,0.07348175055709989,31
29,0.6431037343022864,0.07237008419704559,780
30,0.6624049041223963,0.07818393044235403,308
31,0.6597422029967853,0.062345002970193825,352
32,0.6434409356456865,0.07471323149321693,757
33,0.6442594098434523,0.074414589717263,712
34,0.6786758286860003,0.07541214807833364,22
35,0.6412830050400338,0.07342849764671558,858
36,0.6441986512529314,0.07475756730665918,718
37,0.6718225728452287,0.07515722857410352,133
38,0.6448772705087344,0.07492098443316536,689
39,0.6457649891277505,0.07721337805128003,659
40,0.647378966216789,0.07489326106169907,607
41,0.6610431096608643,0.07336071058377705,333
42,0.6349171648286576,0.0704857249331181,981
43,0.6572196107810148,0.07093103050503999,394
44,0.6520741997881541,0.0787517066711278,495
45,0.6568004616362217,0.0749455220075114,400
46,0.6777610321080418,0.07541923435491492,38
47,0.6506550829275051,0.07590707658232064,521
48,0.6519702417271241,0.07337694446765841,497
49,0.6440083709585447,0.07623177258522239,725
50,0.6543680148312752,0.07516450480349213,448
51,0.646342848908492,0.06859717754118337,640
52,0.6544232364875824,0.07395921455682294,447
53,0.6747570386931,0.06908514873770379,86
54,0.6747524601654722,0.06457039472004582,87
55,0.6756385999263229,0.0748943969968687,67
56,0.6761710039719939,0.07295779307180658,53
57,0.6440813605974358,0.06837947331522366,723
58,0.6750014537468829,0.07439521716881699,83
59,0.659772344834561,0.07086371255069064,351
60,0.656683677898717,0.0766560548022075,402
61,0.6497055484107201,0.07739539359893612,543
62,0.6563164489510044,0.07589017502172522,407
63,0.6494726340804889,0.07469400371039268,551
64,0.668116159706729,0.07201281482499797,206
65,0.643725053319886,0.07547799323620717,740
66,0.6751228953139965,0.07252059861300521,81
67,0.6519395919105301,0.07715063465598973,498
68,0.6727152685300615,0.0667640449801452,120
69,0.6616936315442723,0.07627521357634255,319
70,0.6725292479938774,0.07211007178842876,123
71,0.646244629685118,0.07157477611804784,644
72,0.6701321181538592,0.06624249291244186,166
73,0.6681360012261226,0.07179484626691955,205
74,0.6639190020081277,0.06323471457280284,285
75,0.6365168975454296,0.06676459850098657,968
76,0.6483377504138208,0.06779219039764091,585
77,0.6405199921459687,0.07305414465899034,884
78,0.6675807562471945,0.07180247706785284,210
79,0.6376007382075969,0.06647723969561446,948
80,0.6781957943667827,0.07498628940076607,30
81,0.6553374553370772,0.0666724311965703,426
82,0.6647925900201893,0.062834098030938,268
83,0.6693747766686091,0.06897817841945328,181
84,0.6562472668818852,0.06752668126609478,411
85,0.679233584078726,0.07263762561021023,17
86,0.6526109587669058,0.07594837435013409,482
87,0.6583813506486534,0.06995311133928254,371
88,0.6383590773194293,0.07450599491662173,941
89,0.6416519999814381,0.07353728358910191,839
90,0.6392728238792657,0.06972864808278999,917
91,0.6372336373790529,0.06913390066008678,958
92,0.642905514370382,0.07693303402158332,790
93,0.6361064009984612,0.07038420401167776,972
94,0.6445977497703129,0.07001116212537974,699
95,0.6796972951982102,0.07419819541764136,11
96,0.6629808639755642,0.07114226376840357,303
97,0.6400024548877563,0.07581568174588324,902
98,0.6556053511099437,0.0745739151920168,423
99,0.6583750697906732,0.075792487314505,373
100,0.6332661226363043,0.07573606157009731,987
101,0.6467290921047484,0.07291384394856777,623
102,0.6579303822794518,0.07349690360500034,382
103,0.6389388170389249,0.07684106906283171,924
104,0.645083682176134,0.07516845144366932,678
105,0.6436334356104985,0.07500086276150522,747
