,precision,recall,thresholds
0,0.12580645161290321,1.0,0.0
1,0.1386861313868613,0.9743589743589743,0.002
2,0.1484375,0.9743589743589743,0.004
3,0.1557377049180328,0.9743589743589743,0.006
4,0.1645021645021645,0.9743589743589743,0.008
5,0.1735159817351598,0.9743589743589743,0.01
6,0.17452830188679244,0.9487179487179487,0.012
7,0.18407960199004975,0.9487179487179487,0.014
8,0.193717277486911,0.9487179487179487,0.016
9,0.20903954802259886,0.9487179487179487,0.018
10,0.2155688622754491,0.9230769230769231,0.02
11,0.22085889570552147,0.9230769230769231,0.022
12,0.225,0.9230769230769231,0.024
13,0.23076923076923078,0.9230769230769231,0.026
14,0.2251655629139073,0.8717948717948718,0.028
15,0.2361111111111111,0.8717948717948718,0.03
16,0.2446043165467626,0.8717948717948718,0.032
17,0.2518518518518518,0.8717948717948718,0.034
18,0.25190839694656486,0.8461538461538461,0.036
19,0.25384615384615383,0.8461538461538461,0.038
20,0.2558139534883721,0.8461538461538461,0.04
21,0.2661290322580645,0.8461538461538461,0.042
22,0.27049180327868855,0.8461538461538461,0.044
23,0.26666666666666666,0.8205128205128205,0.046
24,0.2689075630252101,0.8205128205128205,0.048
25,0.27350427350427353,0.8205128205128205,0.05
26,0.2782608695652174,0.8205128205128205,0.052
27,0.2807017543859649,0.8205128205128205,0.054
28,0.2882882882882883,0.8205128205128205,0.056
29,0.29906542056074764,0.8205128205128205,0.058
30,0.3018867924528302,0.8205128205128205,0.06
31,0.3076923076923077,0.8205128205128205,0.062
32,0.3137254901960784,0.8205128205128205,0.064
33,0.31313131313131315,0.7948717948717948,0.066
34,0.3163265306122449,0.7948717948717948,0.068
35,0.31958762886597936,0.7948717948717948,0.07
36,0.3263157894736842,0.7948717948717948,0.074
37,0.34065934065934067,0.7948717948717948,0.076
38,0.34444444444444444,0.7948717948717948,0.08
39,0.34831460674157305,0.7948717948717948,0.086
40,0.3522727272727273,0.7948717948717948,0.09
41,0.36046511627906974,0.7948717948717948,0.092
42,0.36470588235294116,0.7948717948717948,0.094
43,0.37349397590361444,0.7948717948717948,0.096
44,0.3780487804878049,0.7948717948717948,0.098
45,0.38271604938271603,0.7948717948717948,0.1
46,0.3875,0.7948717948717948,0.102
47,0.38461538461538464,0.7692307692307693,0.106
48,0.4,0.7692307692307693,0.108
49,0.40540540540540543,0.7692307692307693,0.112
50,0.4166666666666667,0.7692307692307693,0.116
51,0.42857142857142855,0.7692307692307693,0.122
52,0.43478260869565216,0.7692307692307693,0.124
53,0.44776119402985076,0.7692307692307693,0.128
54,0.45454545454545453,0.7692307692307693,0.132
55,0.46875,0.7692307692307693,0.134
56,0.47619047619047616,0.7692307692307693,0.138
57,0.4838709677419355,0.7692307692307693,0.14
58,0.4918032786885246,0.7692307692307693,0.152
59,0.5,0.7692307692307693,0.158
60,0.5084745762711864,0.7692307692307693,0.162
61,0.5172413793103449,0.7692307692307693,0.166
62,0.5087719298245614,0.7435897435897436,0.168
63,0.5178571428571429,0.7435897435897436,0.172
64,0.5185185185185185,0.717948717948718,0.192
65,0.5283018867924528,0.717948717948718,0.204
66,0.5192307692307693,0.6923076923076923,0.216
67,0.5294117647058824,0.6923076923076923,0.22
68,0.54,0.6923076923076923,0.224
69,0.5510204081632653,0.6923076923076923,0.23
70,0.5625,0.6923076923076923,0.236
71,0.574468085106383,0.6923076923076923,0.238
72,0.5869565217391305,0.6923076923076923,0.242
73,0.5777777777777777,0.6666666666666666,0.252
74,0.5909090909090909,0.6666666666666666,0.254
75,0.6046511627906976,0.6666666666666666,0.266
76,0.6190476190476191,0.6666666666666666,0.268
77,0.6341463414634146,0.6666666666666666,0.272
78,0.65,0.6666666666666666,0.298
79,0.6410256410256411,0.6410256410256411,0.302
80,0.6578947368421053,0.6410256410256411,0.314
81,0.6486486486486487,0.6153846153846154,0.342
82,0.6666666666666666,0.6153846153846154,0.36
83,0.6470588235294118,0.5641025641025641,0.41
84,0.6666666666666666,0.5641025641025641,0.442
85,0.6875,0.5641025641025641,0.474
86,0.6774193548387096,0.5384615384615384,0.486
87,0.7,0.5384615384615384,0.518
88,0.6896551724137931,0.5128205128205128,0.524
89,0.6785714285714286,0.48717948717948717,0.528
90,0.7037037037037037,0.48717948717948717,0.57
91,0.6923076923076923,0.46153846153846156,0.588
92,0.68,0.4358974358974359,0.634
93,0.7083333333333334,0.4358974358974359,0.662
94,0.6956521739130435,0.41025641025641024,0.72
95,0.6818181818181818,0.38461538461538464,0.738
96,0.7142857142857143,0.38461538461538464,0.774
97,0.7,0.358974358974359,0.786
98,0.7222222222222222,0.3333333333333333,0.792
99,0.7058823529411765,0.3076923076923077,0.796
100,0.75,0.3076923076923077,0.814
101,0.7333333333333333,0.28205128205128205,0.82
102,0.7142857142857143,0.2564102564102564,0.822
103,0.6923076923076923,0.23076923076923078,0.826
104,0.6666666666666666,0.20512820512820512,0.868
105,0.6363636363636364,0.1794871794871795,0.87
106,0.7,0.1794871794871795,0.872
107,0.7777777777777778,0.1794871794871795,0.874
108,0.75,0.15384615384615385,0.88
109,0.7142857142857143,0.1282051282051282,0.884
110,0.6666666666666666,0.10256410256410256,0.912
111,0.6,0.07692307692307693,0.918
112,0.5,0.05128205128205128,0.942
113,0.6666666666666666,0.05128205128205128,0.944
114,0.5,0.02564102564102564,0.952
115,1.0,0.02564102564102564,0.988
116,1.0,0.0,9999.0
