,precision,recall,thresholds
0,0.1,1.0,0.006
1,0.09734513274336283,0.9166666666666666,0.008
2,0.102803738317757,0.9166666666666666,0.01
3,0.10679611650485436,0.9166666666666666,0.012
4,0.1111111111111111,0.9166666666666666,0.014
5,0.11702127659574468,0.9166666666666666,0.016
6,0.12087912087912088,0.9166666666666666,0.018
7,0.125,0.9166666666666666,0.02
8,0.12643678160919541,0.9166666666666666,0.022
9,0.12941176470588237,0.9166666666666666,0.024
10,0.12345679012345678,0.8333333333333334,0.026
11,0.125,0.8333333333333334,0.028
12,0.12987012987012986,0.8333333333333334,0.03
13,0.13513513513513514,0.8333333333333334,0.032
14,0.1388888888888889,0.8333333333333334,0.034
15,0.14285714285714285,0.8333333333333334,0.036
16,0.14705882352941177,0.8333333333333334,0.038
17,0.15151515151515152,0.8333333333333334,0.04
18,0.15873015873015872,0.8333333333333334,0.042
19,0.16666666666666666,0.8333333333333334,0.046
20,0.1724137931034483,0.8333333333333334,0.048
21,0.17543859649122806,0.8333333333333334,0.052
22,0.18181818181818182,0.8333333333333334,0.054
23,0.18518518518518517,0.8333333333333334,0.056
24,0.19607843137254902,0.8333333333333334,0.058
25,0.2,0.8333333333333334,0.06
26,0.20408163265306123,0.8333333333333334,0.064
27,0.20833333333333334,0.8333333333333334,0.07
28,0.20454545454545456,0.75,0.072
29,0.20930232558139536,0.75,0.074
30,0.21951219512195122,0.75,0.078
31,0.225,0.75,0.08
32,0.23684210526315788,0.75,0.082
33,0.25,0.75,0.084
34,0.2571428571428571,0.75,0.086
35,0.2647058823529412,0.75,0.092
36,0.2727272727272727,0.75,0.094
37,0.28125,0.75,0.096
38,0.2903225806451613,0.75,0.1
39,0.27586206896551724,0.6666666666666666,0.102
40,0.2857142857142857,0.6666666666666666,0.104
41,0.2962962962962963,0.6666666666666666,0.106
42,0.3076923076923077,0.6666666666666666,0.116
43,0.32,0.6666666666666666,0.118
44,0.3333333333333333,0.6666666666666666,0.12
45,0.34782608695652173,0.6666666666666666,0.132
46,0.36363636363636365,0.6666666666666666,0.138
47,0.38095238095238093,0.6666666666666666,0.144
48,0.4,0.6666666666666666,0.15
49,0.42105263157894735,0.6666666666666666,0.156
50,0.4666666666666667,0.5833333333333334,0.158
51,0.5,0.5833333333333334,0.166
52,0.46153846153846156,0.5,0.186
53,0.5,0.5,0.19
54,0.45454545454545453,0.4166666666666667,0.212
55,0.5,0.4166666666666667,0.226
56,0.4444444444444444,0.3333333333333333,0.228
57,0.5,0.3333333333333333,0.24
58,0.5714285714285714,0.3333333333333333,0.244
59,0.5,0.25,0.252
60,0.4,0.16666666666666666,0.274
61,0.5,0.16666666666666666,0.292
62,0.6666666666666666,0.16666666666666666,0.302
63,1.0,0.16666666666666666,0.308
64,1.0,0.08333333333333333,0.332
65,1.0,0.0,9999.0
