,precision,recall,thresholds
0,0.14233576642335766,1.0,0.002
1,0.152,0.9743589743589743,0.004
2,0.15833333333333333,0.9743589743589743,0.006
3,0.168141592920354,0.9743589743589743,0.008
4,0.1792452830188679,0.9743589743589743,0.01
5,0.18048780487804877,0.9487179487179487,0.012
6,0.18877551020408162,0.9487179487179487,0.014
7,0.18947368421052632,0.9230769230769231,0.016
8,0.19148936170212766,0.9230769230769231,0.018
9,0.19672131147540983,0.9230769230769231,0.02
10,0.2,0.8974358974358975,0.022
11,0.21084337349397592,0.8974358974358975,0.024
12,0.22151898734177214,0.8974358974358975,0.026
13,0.22727272727272727,0.8974358974358975,0.028
14,0.23333333333333334,0.8974358974358975,0.03
15,0.2328767123287671,0.8717948717948718,0.032
16,0.24285714285714285,0.8717948717948718,0.034
17,0.25,0.8717948717948718,0.036
18,0.26153846153846155,0.8717948717948718,0.038
19,0.265625,0.8717948717948718,0.04
20,0.2677165354330709,0.8717948717948718,0.042
21,0.2661290322580645,0.8461538461538461,0.044
22,0.2727272727272727,0.8461538461538461,0.046
23,0.275,0.8461538461538461,0.048
24,0.2796610169491525,0.8461538461538461,0.05
25,0.28695652173913044,0.8461538461538461,0.052
26,0.2894736842105263,0.8461538461538461,0.054
27,0.29357798165137616,0.8205128205128205,0.056
28,0.3076923076923077,0.8205128205128205,0.06
29,0.31313131313131315,0.7948717948717948,0.062
30,0.3163265306122449,0.7948717948717948,0.064
31,0.31958762886597936,0.7948717948717948,0.068
32,0.3263157894736842,0.7948717948717948,0.07
33,0.32978723404255317,0.7948717948717948,0.072
34,0.34444444444444444,0.7948717948717948,0.076
35,0.34831460674157305,0.7948717948717948,0.078
36,0.3522727272727273,0.7948717948717948,0.08
37,0.36046511627906974,0.7948717948717948,0.082
38,0.36470588235294116,0.7948717948717948,0.084
39,0.36904761904761907,0.7948717948717948,0.088
40,0.37349397590361444,0.7948717948717948,0.09
41,0.3780487804878049,0.7948717948717948,0.092
42,0.38271604938271603,0.7948717948717948,0.098
43,0.3875,0.7948717948717948,0.1
44,0.3924050632911392,0.7948717948717948,0.102
45,0.3974358974358974,0.7948717948717948,0.104
46,0.4025974025974026,0.7948717948717948,0.108
47,0.40789473684210525,0.7948717948717948,0.11
48,0.41333333333333333,0.7948717948717948,0.112
49,0.4246575342465753,0.7948717948717948,0.116
50,0.4305555555555556,0.7948717948717948,0.118
51,0.4411764705882353,0.7692307692307693,0.126
52,0.44776119402985076,0.7692307692307693,0.128
53,0.45454545454545453,0.7692307692307693,0.134
54,0.46153846153846156,0.7692307692307693,0.136
55,0.46875,0.7692307692307693,0.142
56,0.47619047619047616,0.7692307692307693,0.148
57,0.4838709677419355,0.7692307692307693,0.154
58,0.4918032786885246,0.7692307692307693,0.156
59,0.48333333333333334,0.7435897435897436,0.16
60,0.4915254237288136,0.7435897435897436,0.164
61,0.5,0.7435897435897436,0.172
62,0.5087719298245614,0.7435897435897436,0.174
63,0.5178571428571429,0.7435897435897436,0.178
64,0.509090909090909,0.717948717948718,0.18
65,0.5185185185185185,0.717948717948718,0.188
66,0.5283018867924528,0.717948717948718,0.192
67,0.5192307692307693,0.6923076923076923,0.198
68,0.5294117647058824,0.6923076923076923,0.21
69,0.5306122448979592,0.6666666666666666,0.224
70,0.5416666666666666,0.6666666666666666,0.228
71,0.5531914893617021,0.6666666666666666,0.242
72,0.5652173913043478,0.6666666666666666,0.25
73,0.5909090909090909,0.6666666666666666,0.26
74,0.6046511627906976,0.6666666666666666,0.266
75,0.6097560975609756,0.6410256410256411,0.274
76,0.6410256410256411,0.6410256410256411,0.296
77,0.6578947368421053,0.6410256410256411,0.308
78,0.6486486486486487,0.6153846153846154,0.342
79,0.6388888888888888,0.5897435897435898,0.356
80,0.6285714285714286,0.5641025641025641,0.386
81,0.6470588235294118,0.5641025641025641,0.4
82,0.6666666666666666,0.5641025641025641,0.428
83,0.6875,0.5641025641025641,0.482
84,0.7096774193548387,0.5641025641025641,0.488
85,0.7,0.5384615384615384,0.54
86,0.6896551724137931,0.5128205128205128,0.576
87,0.7142857142857143,0.5128205128205128,0.592
88,0.7037037037037037,0.48717948717948717,0.614
89,0.6923076923076923,0.46153846153846156,0.62
90,0.68,0.4358974358974359,0.632
91,0.7083333333333334,0.4358974358974359,0.666
92,0.6956521739130435,0.41025641025641024,0.684
93,0.6818181818181818,0.38461538461538464,0.74
94,0.7142857142857143,0.38461538461538464,0.75
95,0.7,0.358974358974359,0.758
96,0.7368421052631579,0.358974358974359,0.762
97,0.7222222222222222,0.3333333333333333,0.804
98,0.7058823529411765,0.3076923076923077,0.808
99,0.6875,0.28205128205128205,0.824
100,0.7333333333333333,0.28205128205128205,0.828
101,0.7142857142857143,0.2564102564102564,0.842
102,0.6923076923076923,0.23076923076923078,0.844
103,0.6363636363636364,0.1794871794871795,0.866
104,0.7,0.1794871794871795,0.868
105,0.7777777777777778,0.1794871794871795,0.872
106,0.75,0.15384615384615385,0.9
107,0.7142857142857143,0.1282051282051282,0.904
108,0.6666666666666666,0.10256410256410256,0.912
109,0.6,0.07692307692307693,0.922
110,0.5,0.05128205128205128,0.936
111,0.3333333333333333,0.02564102564102564,0.944
112,0.5,0.02564102564102564,0.964
113,1.0,0.02564102564102564,0.986
114,1.0,0.0,9999.0
