RA,DEC,AKR_ID,HSC_ID,Gm,Gme,Rm,Rme,Im,Ime,Zm,Zme,Ym,Yme,N2m,N2me,N3m,N3me,N4m,N4me,S7m,S7me,S9m,S9me,S11m,S11me,L15m,L15me,L18m,L18me,L24m,L24me,sum_y,y_pred
269.4815674,67.1310196,46614,80093241625575082,23.099,0.003,22.852,0.006,22.32,0.006999999999999999,21.893,0.009000000000000001,21.736,0.013,20.103,0.099,20.02,0.078,19.975,0.07,,,,,,,17.832,0.112,17.797,0.106,,,21,1
269.2949829,67.216217,79578,80093241625586706,23.494,0.004,23.153,0.008,22.606,0.01,22.195,0.014,21.905,0.017,20.06,0.08800000000000001,19.641,0.058,19.517,0.051,,,,,,,,,,,,,21,1
269.32574460000006,67.0028458,82408,80093237330616389,22.159,0.001,21.941,0.002,21.34,0.002,21.206,0.004,21.082,0.005,20.413,0.123,20.183,0.094,19.985,0.066,,,,,,,,,,,,,21,1
270.29675289999994,67.30970759999998,48051,80092971042630691,21.95,0.002,21.483,0.003,21.06,0.005,20.558000000000003,0.006999999999999999,20.296,0.008,19.471,0.055,19.042,0.034,19.051,0.035,,,,,,,,,18.07,0.119,,,11,1
270.59045410000004,67.280098,105265,80092971042634612,25.09800000000001,0.013,23.604,0.013,22.337,0.006,21.594,0.008,21.3,0.006999999999999999,20.249,0.084,20.026,0.059,19.632,0.069,,,,,,,,,,,,,19,1
270.5773315,67.3323288,48615,80092971042636931,23.77,0.006,23.245,0.011,22.402,0.009000000000000001,21.978,0.014,21.814,0.018000000000000002,20.22,0.107,19.636,0.057,19.481,0.052000000000000005,,,,,,,18.016,0.122,17.835,0.106,,,17,1
268.4204407,67.0321121,36505,80093516503464436,22.109,0.001,21.632,0.002,20.95,0.003,20.624,0.003,20.474,0.005,18.962,0.058,18.772,0.04,18.664,0.037000000000000005,18.405,0.076,18.466,0.117,,,17.215,0.09,17.570999999999998,0.099,,,21,1
268.42004390000005,67.03395079999999,69853,80093516503464443,23.44400000000001,0.004,22.991,0.006999999999999999,22.614,0.014,22.202,0.016,22.015,0.025,19.336,0.053,19.252,0.039,19.121,0.035,,,,,,,,,,,,,20,1
268.5248718,67.0680161,36030,80093516503471086,23.19,0.003,22.523000000000003,0.004,22.371,0.009000000000000001,21.939,0.01,21.69,0.013,20.468,0.098,20.027,0.061,20.035,0.061,,,,,,,,,17.750999999999994,0.107,,,19,1
268.74404910000004,67.1379852,47153,80093516503475417,22.972,0.004,22.458,0.005,21.49,0.006,21.052,0.008,20.865,0.01,20.243,0.076,20.246,0.062,20.086,0.058,,,,,,,17.448,0.092,17.11,0.081,,,12,1
