,mean_test_score,std_test_score,rank_test_score
475,0.26206189352595216,0.08258013826541284,587
476,0.2631201138814144,0.08120083038560083,516
477,0.26203899732658537,0.08238282503829818,629
478,0.2619265224462667,0.08254258485691618,981
479,0.266247047053662,0.08369957210799249,184
480,0.2619588366267461,0.08220244482960058,941
481,0.26744255455728516,0.08319570502856989,18
482,0.2656786819756532,0.0826667903355796,321
483,0.2620084837326507,0.08230049583235019,675
484,0.26468947117499336,0.0813984013556619,406
485,0.2619472652050456,0.08222947827443221,978
486,0.2619588366267461,0.08220244482960058,941
487,0.2620084837326507,0.08230049583235019,675
488,0.26195311274704713,0.08231842650870559,957
489,0.2620084837326507,0.08230049583235019,675
490,0.2620084837326507,0.08230049583235019,675
491,0.2620084837326507,0.08230049583235019,675
492,0.2662721168376893,0.08343951448555817,176
493,0.2663558191562965,0.08252190527059619,160
494,0.2619606084982854,0.0822349050417464,937
495,0.26468947117499336,0.0813984013556619,406
496,0.26755043341117996,0.0832393126736949,8
497,0.26390798221464223,0.0817632941144972,484
498,0.2621295263761937,0.08261750370389978,577
499,0.262917828364233,0.08221555780070895,537
500,0.2669038246534935,0.08438272906373231,70
501,0.2620084837326507,0.08230049583235019,675
502,0.26297271941486444,0.08102351952686758,530
503,0.2619544610548505,0.0825974227987644,952
504,0.2653043090195966,0.0818668047280654,361
505,0.26622571686219565,0.08338018159641832,197
506,0.26486193701251876,0.08134387197281398,392
507,0.2661345234614498,0.08339267877001448,209
508,0.26203899732658537,0.08238282503829818,629
509,0.26686050237083275,0.08309767358043187,84
510,0.2660115555756624,0.08174473446359772,239
511,0.26677605988639547,0.0832934460625542,103
512,0.2653649150802027,0.08187003412120382,343
513,0.2620084837326507,0.08230049583235019,675
514,0.2644937338600327,0.08208712592575808,425
515,0.2620084837326507,0.08230049583235019,675
516,0.2620084837326507,0.08230049583235019,675
517,0.26645470687421313,0.08238976830627374,145
518,0.26598511835538696,0.08159110597352756,252
519,0.2620084837326507,0.08230049583235019,675
520,0.26583933961650347,0.08269215995037936,288
521,0.26630025375969013,0.08228136096292168,167
522,0.2620084837326507,0.08230049583235019,675
523,0.2640723809015156,0.08133919916142972,453
524,0.2620084837326507,0.08230049583235019,675
525,0.2620084837326507,0.08230049583235019,675
526,0.2620084837326507,0.08230049583235019,675
527,0.2620595041408139,0.08229145367218156,600
528,0.26192317377853674,0.08243547063259112,985
529,0.2620226286693581,0.08236433206569252,650
530,0.26390798221464223,0.0817632941144972,484
531,0.26634752382619303,0.08340464891355473,163
532,0.2621295263761937,0.08261750370389978,577
533,0.2619436356847047,0.08224011044932249,980
534,0.26650469006285593,0.08223938676695211,137
535,0.2619588366267461,0.08220244482960058,941
536,0.266950401846727,0.08328818257633598,51
537,0.2660712071890821,0.08219480101653773,226
538,0.2620084837326507,0.08230049583235019,675
539,0.2630402880468716,0.08104732153478995,519
540,0.26531441002969763,0.08189507132909606,356
541,0.2653117543921742,0.08252539624270412,358
542,0.26390798221464223,0.0817632941144972,484
543,0.26201111206797056,0.08223831087177662,663
544,0.2658600942163214,0.08227994585885015,285
545,0.2620084837326507,0.08230049583235019,675
546,0.2624832437072186,0.0819070553053607,564
547,0.2658600942163214,0.08227994585885015,285
548,0.2620084837326507,0.08230049583235019,675
549,0.26203899732658537,0.08238282503829818,629
550,0.2642329360663674,0.0820389216439887,440
551,0.2620084837326507,0.08230049583235019,675
552,0.2658108308868306,0.08186858308290335,295
553,0.2627005740834236,0.08201046813927558,559
554,0.26192317377853674,0.08243547063259112,985
555,0.2620084837326507,0.08230049583235019,675
556,0.2668939382238858,0.08314079825282732,78
557,0.2620084837326507,0.08230049583235019,675
558,0.26621072508263105,0.08240549654172369,198
559,0.2620226286693581,0.08236433206569252,650
560,0.26206189352595216,0.08258013826541284,587
561,0.26611710399763205,0.08319357766325193,213
562,0.2653223814925817,0.08192709306285241,350
563,0.2620084837326507,0.08230049583235019,675
564,0.26201025560419,0.08233291631890384,665
565,0.2620084837326507,0.08230049583235019,675
566,0.26693380898713587,0.08329100279716792,62
567,0.265954054732398,0.08210201466869857,263
568,0.2621295263761937,0.08261750370389978,577
569,0.26229032353699083,0.08273494178765084,566
570,0.2620084837326507,0.08230049583235019,675
571,0.2620084837326507,0.08230049583235019,675
572,0.2620084837326507,0.08230049583235019,675
573,0.2668516803353774,0.08292532274082771,90
574,0.2620084837326507,0.08230049583235019,675
575,0.2658844940742279,0.08256408669566315,282
576,0.2644681235200594,0.08201511175941942,429
577,0.26588775396375364,0.08190427685408176,281
578,0.2619588366267461,0.08220244482960058,941
579,0.2620595041408139,0.08229145367218156,600
580,0.26397590213675715,0.08163242379032429,469
581,0.2620084837326507,0.08230049583235019,675
582,0.26620950826581935,0.08251065894463931,199
583,0.2663558191562965,0.08252190527059619,160
584,0.2660756041700021,0.08166567293841362,225
585,0.2620084837326507,0.08230049583235019,675
586,0.26695168316297085,0.08299990320241546,50
587,0.2620084837326507,0.08230049583235019,675
588,0.2620595041408139,0.08229145367218156,600
589,0.2662681264866908,0.08119827979823906,179
590,0.26203899732658537,0.08238282503829818,629
591,0.2675630476576489,0.08298131140924946,6
592,0.2620084837326507,0.08230049583235019,675
593,0.26201025560419,0.08233291631890384,665
594,0.2660695522421086,0.08137412239148477,228
595,0.2658890215450522,0.08233209842993786,280
596,0.2658055094440392,0.08248401783085796,297
597,0.2671823867094275,0.08305576065601461,23
598,0.26554415154819383,0.08178415980735249,330
599,0.2620084837326507,0.08230049583235019,675
600,0.26203735529513567,0.08230267136153874,649
601,0.2656430313517672,0.0827298295426854,324
602,0.265142189848191,0.08240265111280645,378
603,0.2620084837326507,0.08230049583235019,675
604,0.26677814455639454,0.08309454079175532,100
605,0.26700020703318555,0.08321420317089542,36
606,0.2644937338600327,0.08208712592575808,425
607,0.26554415154819383,0.08178415980735249,330
608,0.2653043090195966,0.0818668047280654,361
609,0.26206189352595216,0.08258013826541284,587
610,0.2620084837326507,0.08230049583235019,675
611,0.26577458475988924,0.08266451004012258,301
612,0.2659996146598163,0.08261198744433264,248
613,0.2620084837326507,0.08230049583235019,675
614,0.2630402880468716,0.08104732153478995,519
615,0.26519347189947307,0.08236368140878386,377
616,0.2620084837326507,0.08230049583235019,675
617,0.262917828364233,0.08221555780070895,537
618,0.2620595041408139,0.08229145367218156,600
